Vehicle Type,Fuel Type,Engine Size,Age of Vehicle,Mileage,Speed,Acceleration,Road Type,Traffic Conditions,Temperature,Humidity,Wind Speed,Air Pressure,CO2 Emissions,NOx Emissions,PM2.5 Emissions,VOC Emissions,SO2 Emissions,Emission Level
0.0,0.0,2.747608618006285,22,291288,49.0832545097578,1.887738440432738,0.0,0.0,13,52,18,955.41164196635,179.93008804993812,1.085519804234255,0.0115479615054409,0.0962067938804522,0.0229357568955865,Medium
0.0,0.0,5.743714393331564,3,188398,23.46031082358643,3.544147218551127,0.0,0.0,19,5,14,1035.763061721762,250.50521934372324,1.2856284064433412,0.1871120961563853,0.0733213084010773,0.0280213799626384,Medium
0.0,0.0,4.606368497419306,17,281451,115.50835048531587,4.646885549371895,0.0,0.0,8,3,18,976.2070644332192,404.9791033436986,0.258188566706888,0.1323981490814994,0.0147435433448066,0.075333621659918,High
0.0,0.0,3.91302411782459,4,151321,18.54021737943641,3.581003892767884,0.0,0.0,35,0,11,966.919462347626,463.5686079595012,1.0409557654713608,0.1663252264243553,0.0934903268346641,0.0253239344607054,High
0.0,0.0,1.61129693030067,15,91810,109.59656579505317,3.879302876896984,0.0,0.0,14,52,2,953.2293507469886,79.51460364109796,1.583390451434787,0.0780430787613852,0.0203955027670182,0.0249863650623168,Low
0.0,0.0,1.611171505748254,13,72131,51.41677177878984,3.7538962107939935,0.0,0.0,11,46,13,1033.4073099043271,287.833438105556,1.7339751240091186,0.0563608703063275,0.0931653299121262,0.0690624268192732,Medium
0.0,0.0,1.102034783274637,26,169449,45.343918987406646,1.604893029918624,0.0,0.0,-7,94,4,956.0115290875724,337.86958100821704,1.4702223582798286,0.0428991381655383,0.0506602859460936,0.0581934129204394,High
0.0,0.0,5.304115958029663,26,296695,27.75837610858186,3.7846521659112393,0.0,0.0,19,34,6,1045.443041581739,57.864242522794505,0.8952892158927426,0.1109288363507685,0.0537109186132627,0.0781121854235298,Low
0.0,0.0,3.925798061064686,18,90214,76.29076012410229,3.922603801099008,0.0,0.0,20,65,10,1006.4842016085272,131.56170882590965,0.5892048771231729,0.0606484531694953,0.0586052279951207,0.03869696328092,Low
0.0,0.0,4.481977404539436,13,38599,82.26336180130036,2.667001603252564,0.0,0.0,19,0,3,1019.8683184927156,78.15271149776433,0.8393876311208937,0.1772214982175093,0.0184367762301241,0.06476097287589,Low
0.0,0.0,0.9070393703381728,8,229417,56.108515470290094,2.683781193334082,0.0,0.0,34,66,0,1022.5310422056684,180.66615346826416,1.1670385549571334,0.0156883511628592,0.0698374790520077,0.0907023157356013,Medium
0.0,0.0,5.843531231242371,5,109490,6.684827483210896,3.798604015312419,0.0,0.0,28,91,6,979.2684488765526,142.43223356891502,0.1110211819180414,0.0260653907518163,0.0688746121003676,0.0913115509925344,Low
0.0,0.0,5.128701732162193,16,22593,110.221218082626,4.085154311122038,0.0,0.0,33,35,16,1030.6458347909677,269.06013626085223,1.8328141335493056,0.0510040286884972,0.0619984818294454,0.0687815038965943,Medium
